Results
Data from Matlab    Data from Simulation
1FC21A6A3           1FC21A6A3           TRUE      
12B0FF0C4           12B0FF0C4           TRUE      
1BD15C558           1BD15C558           TRUE      
03654FF3C           03654FF3C           TRUE      
1853CAACD           1853CAACD           TRUE      
08C32C33C           08C32C33C           TRUE      
00115EA60           00115EA60           TRUE      
1FA3E35FE           1FA3E35FE           TRUE      
1516638B8           1516638B8           TRUE      
1CBD7B3C3           1CBD7B3C3           TRUE      
0AC0CE8A3           0AC0CE8A3           TRUE      
1E8CD72ED           1E8CD72ED           TRUE      
1E16D9B70           1E16D9B70           TRUE      
1907A1A22           1907A1A22           TRUE      
032A2E1D7           032A2E1D7           TRUE      
08912435F           08912435F           TRUE      
020ADE67B           020ADE67B           TRUE      
0255E8C1A           0255E8C1A           TRUE      
19686998C           19686998C           TRUE      
12F254071           12F254071           TRUE      
04D7CA410           04D7CA410           TRUE      
19D305D8D           19D305D8D           TRUE      
1CA3AD33D           1CA3AD33D           TRUE      
0A3A06095           0A3A06095           TRUE      
1A2010DAA           1A2010DAA           TRUE      
19A0A9FC0           19A0A9FC0           TRUE      
1BF3BF35F           1BF3BF35F           TRUE      
00ED2FCAB           00ED2FCAB           TRUE      
023197AFF           023197AFF           TRUE      
02AB021B6           02AB021B6           TRUE      
02BF32E91           02BF32E91           TRUE      
0CB040823           0CB040823           TRUE      
03A5A28D4           03A5A28D4           TRUE      
02C454C5C           02C454C5C           TRUE      
0B254E4CC           0B254E4CC           TRUE      
1F8530FF8           1F8530FF8           TRUE      
1BC063198           1BC063198           TRUE      
199664C89           199664C89           TRUE      
1159143EB           1159143EB           TRUE      
16154E5D0           16154E5D0           TRUE      
07440CEC6           07440CEC6           TRUE      
1586D4F5F           1586D4F5F           TRUE      
0126A3193           0126A3193           TRUE      
020AE8509           020AE8509           TRUE      
1A692E390           1A692E390           TRUE      
08AEB8D3C           08AEB8D3C           TRUE      
0CB7CC79E           0CB7CC79E           TRUE      
1F6766E7C           1F6766E7C           TRUE      
1FC3932F5           1FC3932F5           TRUE      
0C9B402C4           0C9B402C4           TRUE      
1B98EE591           1B98EE591           TRUE      
1E8784057           1E8784057           TRUE      
19D377491           19D377491           TRUE      
1783A812E           1783A812E           TRUE      
0E5EE0C9D           0E5EE0C9D           TRUE      
00BED2D3B           00BED2D3B           TRUE      
08E6C0F81           08E6C0F81           TRUE      
0CA02EA42           0CA02EA42           TRUE      
1B788E35F           1B788E35F           TRUE      
15D4BEBC0           15D4BEBC0           TRUE      
0564827DE           0564827DE           TRUE      
09830F227           09830F227           TRUE      
1D5E4D1C5           1D5E4D1C5           TRUE      
195D9D9DE           195D9D9DE           TRUE      
1F1B761FA           1F1B761FA           TRUE      
1212FC10C           1212FC10C           TRUE      
18632136E           18632136E           TRUE      
08EF79303           08EF79303           TRUE      
01C957FD2           01C957FD2           TRUE      
1DFEC1D2A           1DFEC1D2A           TRUE      
01BB25D5F           01BB25D5F           TRUE      
01238F776           01238F776           TRUE      
1E61B5E69           1E61B5E69           TRUE      
1EC075160           1EC075160           TRUE      
022E6F564           022E6F564           TRUE      
075015E7D           075015E7D           TRUE      
066A7BB9E           066A7BB9E           TRUE      
0160A1AA4           0160A1AA4           TRUE      
033817E78           033817E78           TRUE      
070DE1160           070DE1160           TRUE      
06F0D4A9E           06F0D4A9E           TRUE      
0335F3E98           0335F3E98           TRUE      
1600FBC1C           1600FBC1C           TRUE      
02CA7D980           02CA7D980           TRUE      
0248686FA           0248686FA           TRUE      
0584639D3           0584639D3           TRUE      
044BC07B0           044BC07B0           TRUE      
125D7D144           125D7D144           TRUE      
171F8AE7F           171F8AE7F           TRUE      
062461F6A           062461F6A           TRUE      
06BBEEA5F           06BBEEA5F           TRUE      
017EA53FC           017EA53FC           TRUE      
1EF9DA15D           1EF9DA15D           TRUE      
02DAAFEC0           02DAAFEC0           TRUE      
083D5D87A           083D5D87A           TRUE      
0010A51E0           0010A51E0           TRUE      
09C54DECF           09C54DECF           TRUE      
0825CB455           0825CB455           TRUE      
1A85C587A           1A85C587A           TRUE      
128974B97           128974B97           TRUE      
1A154DDBC           1A154DDBC           TRUE      
1B428A9F0           1B428A9F0           TRUE      
036AF41AF           036AF41AF           TRUE      
1BA36338A           1BA36338A           TRUE      
1FF904E1A           1FF904E1A           TRUE      
076E4FE5F           076E4FE5F           TRUE      
1608FC635           1608FC635           TRUE      
0380CB34E           0380CB34E           TRUE      
15E76576D           15E76576D           TRUE      
